alg,clutter_mode,pfa,num_ref,num_guard,cluster_gap,merge_tol,nms_sep,max_peaks,multi_pct,multi_frames,total_peaks,peaks_per_frame,median_tap_sep,sep_pass_pct
CA,max_path,0.05,6,2,1,2,1,6,16.10892246417594,3721,22470,0.9727693839560154,31,100.0
CA,max_path,0.005,8,2,1,0,0,4,0.07359625957833672,17,5233,0.22654660374908003,34,100.0
OS,max_path,0.005,4,2,0,0,2,4,0.0,0,8,0.0003463353391921728,0,0.0
OS,mti,0.01,4,1,1,2,2,4,0.0,0,8,0.0003463353391921728,0,0.0
GO,mti,0.02,4,1,1,0,0,6,0.030304342179315123,7,334,0.014459500411273215,2,57.142857142857146
CA,mean,0.01,6,2,0,0,0,4,30.854149530282697,7127,18961,0.8208580458028486,2,80.65591995553085
CA,max_path,0.01,6,1,0,1,0,6,0.17749686133598858,41,8128,0.3518767046192476,34,100.0
GO,mti,0.005,4,1,0,1,1,4,0.0,0,3,0.0001298757521970648,0,0.0
OS,mean,0.05,4,1,1,0,1,4,3.298844105805446,762,4061,0.17580847655742673,2,50.98039215686274
GO,mean,0.005,4,2,1,1,2,6,0.0,0,159,0.0068834148664444345,0,0.0
OS,max_path,0.01,4,2,1,1,2,6,0.0,0,115,0.004978570500887484,0,0.0
CA,mean,0.005,8,2,1,1,1,6,11.2255941815663,2593,12367,0.5353911424737001,2,100.0
GO,max_path,0.05,4,2,1,0,2,6,0.8138880471016061,188,7090,0.30693969435906315,30,100.0
CA,mean,0.005,8,1,1,0,1,6,10.56322784536127,2440,10201,0.44162084938741936,2,79.00326797385621
GO,max_path,0.01,4,2,0,1,1,6,0.0,0,286,0.012381488376120178,0,0.0
OS,mti,0.01,4,2,0,0,0,4,0.00865838347980432,2,77,0.0033334776397246635,1,50.0
OS,mean,0.01,8,1,0,0,2,4,34.62487553573748,7998,28423,1.230486168232391,2,100.0
GO,mti,0.01,6,1,1,2,1,6,0.0,0,396,0.017143599290012555,0,0.0
OS,mean,0.005,4,2,0,0,2,4,0.0,0,51,0.0022078877873501017,0,0.0
OS,mean,0.05,6,1,0,1,0,6,57.25788995194597,13226,38373,1.661240746352656,3,99.96659056740353
GO,mti,0.02,8,2,1,2,2,4,0.8701675397203342,201,4360,0.1887527598597342,3,100.0
CA,mti,0.02,4,2,0,1,2,4,15.0309537209403,3472,16512,0.7148361400926447,3,100.0
GO,mean,0.05,8,1,1,1,0,4,17.126282523052947,3956,16202,0.701415645698948,2,100.0
CA,mti,0.01,4,1,1,1,0,6,0.9827265249577903,227,2728,0.11810035066453094,2,100.0
